Question,Answer,convertible,Open-ended answer
"What are the impacts of a warming climate on the cryosphere?

A) Global warming causes melting of ice on land such as glaciers, and ice sheets in Antarctica and Greenland. This adds water to the ocean, and raises global sea levels
B) Ice and snow reflect sunlight and have a cooling effect on the climate. Without ice, darker land and ocean absorbs heat and amplifies climate change.
C) Thawing permafrost releases significant amounts of greenhouse gases, causing further warming
D) Human populations living off or close to the sea will be affected as well as population within mountain regions","A, B, C, D",True,"Global warming causes melting of ice on land such as glaciers, and ice sheets in Antarctica and Greenland. This adds water to the ocean, and raises global sea levels. Ice and snow reflect sunlight, cooling the climate, without them, darker land and ocean surfaces absorb heat and amplify climate change. Additionally, thawing permafrost releases significant greenhouse gases, leading to further warming. And human populations living near the sea and in mountain regions will be affected."
"What is ice and snow albedo?

A) Albedo is the measure of how much light that hits a surface is reflected without being absorbed
B) Albedo is the measure the thickness of ice or snow
C) Albedo is the temperature of ice or snow
D) Albedo is the ratio between frozen water and snow",A,True,
"How does the cryosphere interact with the atmosphere?

A) The atmosphere and the cryosphere do not interact with each other
B) Some parts of the cryosphere interact with the atmosphere
C) The atmosphere and the cryosphere are the same thing
D) The atmosphere and the cryosphere are two key components of the Earth’s system and they have complex interactions",D,True,
"How are earth observations of the cryosphere used practically?

A) To monitor shipping routes and reduce the risk of ships hitting icebergs
B) To reduce the loss of life and property from natural disasters such as avalanches
C) To monitor conditions for tourism and recreation
D) To help with wildlife management","A, B, C, D",True,"Earth observations of the cryosphere are utilised to monitor shipping routes and reduce the risk of ships hitting icebergs. They also help to reduce the loss of life and property from natural disasters such as avalanches. Additionally, these observations are used to monitor conditions for tourism and recreation and to help with wildlife management."
"What is the benefit of monitoring the cryosphere using SAR instruments?

A) SAR instruments are cheaper than other instruments
B) SAR instruments measure more precisely than optical instruments
C) SAR instruments are not weather dependent and can penetrate cloud cover
D) Data from SAR instruments is easier to interpret and can therefore be used more widely than data from other instruments",C,True,
"What is the difference between sea ice and icebergs?

A) Sea ice and icebergs are the same thing because they both float on the ocean
B) Icebergs are colder than sea ice
C) Icebergs consist of older sea ice, whereas sea ice is always young and melts quickly
D) Sea ice forms on ocean water, but icebergs break off from larger formations such as glaciers",D,True,
"How does melting sea ice affect the ocean’s circulation system?

A) When sea ice melts, it makes the sea water less salty and therefore less dense. This means the water sinks and disrupts the ocean’s circulation system
B) When sea ice melts, it makes the ocean water cleaner and increases the rate of ocean circulation
C) When sea ice melts, it makes the sea water more salty and therefore more dense. This means the water floats and disrupts the ocean’s circulation system
D) When sea ice melts, the ocean dramatically drops in temperature and stops circulating",A,True,
"Why does satellite data play a crucial part for monitoring climate change?

A) Satellites are the only reliable tools used for monitoring climate change as they give authoritative and unique insights about the Earth’s climate from space
B) Satellites are used in conjunction with other data collection tools and methods by scientists to verify models and predictions to help scientists understand, analyse and predict the impact of climate change.
C) Satellites are the only way to retrieve precise data from remote areas such as Antarctica in order to monitor climate change
D) Satellites are more economically viable than sending lots of scientists to remote areas such as Antarctica",B,True,
"Sea ice extent is based on whether an area is ‘ice-covered’ or ‘not ice-covered’. What do current studies suggest is happening to sea ice extent?

A) Sea ice extent has increased over the last 30 years
B) Sea ice extent has remained approximately the same for the last 30 years
C) Sea ice extent has decreased slightly over the last 30 years
D) Sea ice extent has dropped rapidly over the last 30 years",D,True,
"What is the relationship between multi-year sea ice and climate change?

A) Decreasing multi-year ice is a natural process, it is not related to climate change
B) Decreasing multi-year ice means that there is more first-year sea ice which is positive, because first-year sea ice is stronger than multi-year sea ice
C) Decreasing multi-year ice operates in a negative feedback loop, which accelerates the warming of the planet
D) Decreasing multi-year ice operates in positive feedback loop, which decelerates the warming of the planet",C,True,
"With Satellite data allowing us to access data about remote regions and on an unprecedented scale, why is it important for scientists to conduct field research?

A) Satellites are reliable sources of data but they cannot tell us crucial information about what exists under, or in the Earth’s surface
B) Satellites have consistently proven to give unreliable data, and scientists much constantly check that the data is correct
C) Satellites are reliable sources of data, which means that the only role of the research scientist is to be a data verifier.
D) Satellites are reliable sources of data but they are expensive to maintain, so scientists must continue work in the field until satellites are more economically viable for space organisations.",A,True,
"Which instrument does CryoSat-2 use to measure sea ice thickness?

A) SCORAL
B) SIRI
C) SIRAL
D) SORAL",C,True,
"Why is it important for scientists to be able to measure snow on sea ice?

A) If there is more snow on the sea ice, it is harder to get ships into the area
B) Snow pushes sea ice down and makes taking thickness measurements more difficult
C) Snow makes sea ice melt and scientists needs to keep track of this effect
D) Snow on sea ice causes a degree of inaccuracy in satellite measurements and scientists need to calibrate this, so their measurements from satellites can be accurate",B,True,
"Which of these facts about ice cores is not true?

A) Most ice core records come from Antarctica and Greenland
B) Ice cores are cylinders of ice drilled out of an ice sheet or glacier.
C) Ice cores enclose small bubbles of air that contain a sample of the atmosphere measuring the past’s concentration of gases (including carbon dioxide and methane) in the atmosphere.
D) Ice cores tell us about the past climate up to 250 years.",D,False,
"What does the GRACE satellite measure?

A) The Earth’s cryosphere
B) The size and density of snow on land
C) GRACE tracks and detects the geographical location of icebergs
D) GRACE detects gravity fields and measures mass balance",D,True,
"What is a grounding line?

A) The boundary between where a glacier is set on land and juts into the sea to become a floating ice shelf
B) The word describes a crack or fission in the ice
C) The line or beam of data that the satellite collects in relation to the Earth
D) The point at which research scientists take a line of snow samples to measure grain size",A,True,
"Which statement is not true about the way we can use data about ice velocity to understand changes in our climate?

A) Ice velocity maps can be created by SAR data from Sentinel-1
B) Velocity ice maps are only created by a series of localised field measurements recorded by scientists
C) Ice velocity maps show us the direction and pace of moving ice
D) Remote sensing techniques that use SAR and optical satellite data derive accurate surface velocities of remote areas on a regular basis",B,False,
"What are ice shelves?

A) Ice shelves are thick slabs of ice, which are attached to a coastline and extend out over the ocean. They are a seaward extension of the grounded ice sheet.
B) Ice Shelves are units of measurement that research scientists use to collect data.
C) Ice shelves are thin slices of the glaciers that give us a cross-section to take data samples from
D) Ice Shelves are platform-type formations of layers of ice that develop over time from the freezing of fresh water on glaciers.",A,True,
"What is the largest single component of the Cryosphere?

A) Seasonal snow
B) Ice sheets
C) Glaciers
D) Sea Ice",A,True,
"How much of the Earth’s surface is covered by river or lake ice?

A) 0.1%
B) 2%
C) 5%
D) 10%",B,True,
"Which statements are true about surging glaciers?

A) Surging glaciers are glaciers that are subject to cyclical flow instabilities
B) Surging glaciers are glaciers which flow at a constant rate down a mountain
C) Surging glaciers are short events where a glacier’s velocity moves up to 100 times faster than normal
D) Surging glaciers are glaciers which suddenly increase in mass","A, C",False,
"Why are optical satellites useful in measuring snow cover on land?

A) They are cheaper than other kinds of satellites
B) Snow appears brightly on optical satellite imagery
C) Snow is too bright to appear on other kinds of satellite
D) It is hard to tell the difference between snow and ice on using Radar satellites",B,True,
"What is snow water equivalent? (Select all that apply)

A) The amount of rainfall in a topical area compared to the amount of snow in colder areas
B) A unit of measuring how much snow weighs
C) The amount of water contained within a snowpack
D) The depth of water that would be produced if the entire snowpack melted instantly",C,True,
"To monitor the ocean do we need satellites, local observations or both?

A) Just satellites
B) Just local observations
C) Both",C,True,
"Who can access the Sentinel data?

A) Only Scientists
B) Everyone
C) Only Businesses
D) Only Students",B,True,
"When was the initial concept of the Copernicus Programme launched?

A) 1998
B) 1999
C) 2008
D) 2016",B,True,
"The Copernicus programme consists of a complex set of systems, which collect data from Earth observation satellites as well as in-situ sensors.

A) True
B) False",A,False,
"What is special about the Copernicus programme that helps us to observe and manage climate change?

A) Multiple satellites measuring lots of different variables
B) Continuity of measurements for the next two decades
C) It provides data all over the world","A, B, C",True,"The Copernicus Programme uses multiple satellites measuring lots of different variables. It ensures continuity of measurements for the next two decades, providing data coverage worldwide."
"Why are satellites important for studying climate change?

A) Global coverage of measurements
B) Consistency of instrumentation
C) Climate change can only be observed from space
D) Can be used to validate models
E) Planning for mitigation","A, B, D, E",True,Satellites are important for studying climate change because they provide global coverage of measurements and ensure consistency of instrumentation. Satellite data can also be used to validate models and aid in planning for mitigation efforts.
"Why do we need long-term data records?

A) So we can detect trends
B) To decide what is natural variability and what is caused by human impacts
C) To validate models","A, B, C",True,"We need long term data records to detect trends, decide what is natural variability and what is caused by human impacts, and also to validate models."
"What are the four factors that drive ocean circulation?

A) Density
B) Gravity
C) Planetary motion
D) Wind
E) Plate-tectonics","A, B, C, D",True,"Four factors that drive ocean circulation are density, gravity, planetary motion and wind."
"How is large-scale ocean circulation related to weather?

A) Transport of kinetic energy
B) Transport of heat
C) Transport of moisture
D) Influence of winds","B, C, D",True,Large-scale ocean circulation is related to weather through the transport of heat and moisture and its influence on winds.
"How long does the full circuit of thermohaline circulation take, from the surface ocean down to the deep ocean and back again?

A) 10 days
B) 100 days
C) 100 years
D) 1000 years",D,True,
"What type of satellite sensor is used to measure sea level rise?

A) Radiometer
B) Altimeter
C) LiDAR",B,True,
"Which factors contribute to sea level rise?

A) Sea ice melt
B) Glacier/land ice melt
C) Water warming
D) Dam building
E) Pumping of underground water
F) River run off","B, C, E",True,"The factors which contribute to sea level rise are glacier and land ice melt, warming oceans and pumping of underground water."
"El Niño is a climate pattern that describes the unusual warming of surface waters in the eastern tropical Pacific Ocean

A) True
B) False",A,True,
"Which types of satellite data can be used to monitor ENSO?

A) Sea surface temperature
B) Ocean colour
C) Sea surface height
D) Ice cover","A, B, C",True,"Satellite data that can monitor ENSO includes sea surface temperature, ocean colour, and sea surface height."
"Are all ENSO events the same?

A) Yes
B) No",B,True,
"What sensors are used to measure ice?

A) Radiometers
B) Altimeters
C) Seismometer
D) Optical imaging instruments
E) Scatterometers and Synthetic Aperture Radar (SAR)","A, B, D, E",True,"Sensors used to measure ice include
radiometers, altimeters, optical imaging instruments, scatterometers and Synthetic Aperture Radar (SAR)."
"Which characteristics of ice allow us to measure it from satellites?

A) Colour
B) Gravity
C) Surface elevation
D) Surface roughness
E) Temperature","A, B, C, D, E",True,"The characteristics of ice that allow for it to be measured by satellites includes its colour, gravity, surface elevation, surface roughness, and temperature."
"What are some of the problems caused by land ice melt?

A) Rising sea level
B) Loss of habitat
C) Change in albedo
D) Change in weather
E) Loss of freshwater supply","A, B, C, E",True,"Some problems caused by land ice melt include rising sea levels, loss of habitats, change in albedo, and loss of freshwater supply."
"If the sea level rise trend stays the same, in 2100, the sea will rise from that measured in 2000 by:

A) 3.3mm
B) 3.3cm
C) 33cm
D) 33m",C,False,
"How high are the “hills” measured by altimetry that correspond to currents such as the Gulf Stream?

A) 1mm
B) 1m
C) 50m
D) 50cm",B,True,
"Which of the following services are included in the Copernicus service portfolio?

A) Land Monitoring
B) Marine Monitoring
C) Atmosphere Monitoring
D) Emergency Management
E) Security and Climate Change","A, B, C, D, E",False,
"Which of the following statements about the El Nino Southern Oscillation are true?

A) It’s caused by human activity
B) It’s something that occurs every year
C) It’s easily predictable
D) It can cause floods and droughts at the same time
E) It has global effects","D, E",False,
"What data is required for weather predictions?

A) Satellite data about the oceans
B) Satellite data about the atmosphere
C) Land Cover Data
D) In-situ data","A, B, D",True,"Data required for weather prediction includes satellite data on the ocean, the atmosphere and land cover data."
"EUMETSAT operates satellites that provide..?

A) Meteorological data
B) Oceanographic data
C) Both",C,False,
"Tropical storms occur mostly in the Inter-tropical Convergence Zone?

A) True
B) False",A,False,
"What causes tropical storms to rotate?

A) Solar Radiation
B) Ocean Salinity
C) Earth’s rotation
D) Winds",C,True,
"What is the magnitude of storm surges influenced by?

A) Storm angle of approach
B) The shape of the coastline
C) Wind speed
D) Tides","A, B, C",True,"The Magnitude of storm surges is influenced by storm angle of approach, the shape of the coastline and the wind speed."
"How can satellites assist in managing the impacts of storm surges?

A) Prediction
B) Evacuation planning
C) Defence situation
D) Level of inundation
E) Disaster response","A, B, C, D, E",True,"Satellites can assist in managing the impacts of storm surges by predicting events, aiding evacuation planning, providing surveillance for defence, tracking inundation levels and guiding disaster response."
"What sensors are used to detect waves from space?

A) Synthetic Aperture Radars
B) Altimeters
C) Radiometers","A, B",True,Sensors used to predict waves from space are synthetic aperture radar and altimeters.
"How high are the highest waves (significant wave heights) ever measured by a satellite?

A) 15 m during a cyclone/hurricane
B) 40 m in the roaring forties
C) 19 m in a North Atlantic winter storm",C,True,
"What is the global average sea level rise since sea levels were first measured in 1992?

A) 8cm
B) 30mm
C) 10cm",A,True,
"Why is the rise in sea level not always consistent over the globe?

A) Changes in gravity
B) Differences in current dynamics
C) Variation in heating effects
D) Sea level rise is in fact consistent","A, B, C",True,"The rise in sea level is not always consistent over the globe due to changes in gravity, differences in current dynamics and variations in heating effects."
"What is the significant wave height defined as?

A) The mean wave height of the highest third of the waves
B) The mean wave height of the highest fourth of the waves
C) The mean wave height of all the waves
D) The mean wave height of the lowest third of the waves",A,True,
"Where do tropical storms get their energy from?

A) Winds
B) Waves
C) Warm sea",C,True,
"How does the ocean affect weather?

A) Sea surface temperature affects land temperatures
B) Sea surface temperatures influence evaporation and precipitation
C) Sea surface temperature influences winds
D) Ocean heat content affects tropical storms","A, B, C, D",True,"The ocean affects weather in several ways: sea surface temperature influences land temperatures, evaporation and precipitation. They also play a key role in driving winds and affecting ocean heat content which can impact intensity and formation of tropical storms."
"Sea level rise is homogeneous around the world?

A) True
B) False",B,False,
"What sort of hazards can measurements of ocean transport help us manage?

A) Icebergs
B) Algal Blooms
C) Tsunamis
D) Oil spills","A, B, D",True,"Measurements of ocean transport help manage hazards such as icebergs, algal blooms and oil spills."
"Why does knowledge of currents help ocean shipping?

A) Reduce journey times and save time and fuel
B) Avoid dangerous currents/ice
C) Avoid algal blooms","A, B",True,"Knowledge of currents helps ocean shipping by reducing journey times and saving fuel, as well as avoiding dangerous currents and ice."
"As well as salinity, what does the SMOS satellite measure?

A) Ocean turbidity
B) Sea ice thickness
C) Soil moisture
D) Sea surface height","B, C",True,The SMOS satellite also measures sea ice thickness and soil moisture.
