question,answer
What are the impacts of a warming climate on the cryosphere?,"Global warming causes melting of ice on land such as glaciers, and ice sheets in Antarctica and Greenland. This adds water to the ocean, and raises global sea levels. Ice and snow reflect sunlight and have a cooling effect on the climate. Without ice, darker land and ocean absorbs heat and amplifies climate change. Thawing permafrost releases significant amounts of greenhouse gases, causing further warming. Human populations living off or close to the sea will be affected as well as population within mountain regions."
How are earth observations of the cryosphere used practically?,"Earth observation are used to: monitor shipping routes and reduce the risk of ships hitting icebergs, reduce the loss of life and property from natural disasters such as avalanches, monitor conditions for tourism and recreation, and help with wildlife management."
What is special about the Copernicus programme that helps us to observe and manage climate change?,With Copernicus programme multiple satellites measures lots of different variables providing data from all over the word. The programme will provide continuity of measurements for the next two decades. 
Why are satellites important for studying climate change?,"Satellites provide global coverage of measurements and consistency of instrumentation. Furthermore, they can be used fot planning mitigation and validate models."
Why do we need long-term data records?,"We need long-term data records to: detect trends, validate models, and decide what is natural variability and what is caused by human impacts."
What are the four factors that drive ocean circulation?,"The four factors are: density, gravity, planetary motion, and wind."
How is large-scale ocean circulation related to weather?,Ocean circulation is related related to weather due to the influence of winds and the transport of heat and moisture.
Which factors contribute to sea level rise?,"The following factors contributes to sea level rise: glacier/land ice melt, water warming, pumping of underground water."
Which types of satellite data can be used to monitor ENSO?,"The following type of satellites can be used: sea surface temperature, ocean colour, and sea surface height."
What sensors are used to measure ice?,"Radiometers, altimeters, optical imaging instruments, scatterometers and Synthetic Aperture Radar (SAR)"
Which characteristics of ice allow us to measure it from satellites?,"Colour, gravity, surface elevation, surface roughness, temperature."
What are some of the problems caused by land ice melt?,"Rising sea level, loss of habitat, change in albedo, loss of freshwater supply."
What data is required for weather predictions?,Satellite data about oceans and atmosphere alongside In-situ data.
The magnitude of storm surges is influenced by?,"Storm angle of approach, the shape of the coastline, and wind speed."
How can satellites assist in managing the impacts of storm surges?,"Sattelites can assist by: prediction, evacuation planning, defence situation, level of inundation, and disaster response."
What sensors are used to detect waves from space?,Synthetic Aperture Radars and altimeters
Why is the rise in sea level not always consistent over the globe?,"The sea rise is not always consistent because of: changes in gravity, differences in current dynamics, variation in heating effects."
How does the ocean affect weather?,"Sea surface temperature affects land temperatures and influence: evaporation, precipitation, and winds. Furthermore, ocean heat content affects tropical storms."
What sort of hazards can measurements of ocean transport help us manage?,"Icebergs, algal nlooms, and oil spills."
Why does knowledge of currents help ocean shipping?,Reduce journey times and save time and fuel. it also avoid dangerous currents/ice.
"As well as salinity, what does the SMOS satellite measure?",Sea ice thickness and soil moisture.
Which sensors can be used to detect icebergs?,"Altimeters, Synthetic Aperture Radar, Radiometers."
What sort of information can we get about oil spills from satellites?,"Location, extent, thickness, potential transport, dispersed oil."
What sort of things change the colour of ocean water?,Sediments and algae/phytoplankton.
What tools can we use to predict ocean transport,"Hydrodynamic models, altimetry derived currents, theoretical particle/floats."
What satellite sensors are used to detect oil?,"Synthetic Aperture Radar (SAR), optical imagers."
What are the challenges to understanding long term variability in phytoplankton dynamics?,"Many factors influence phytoplankton growth, some of these are differences between sensors and gaps in the satellite data record."
"Other than phytoplankton, where does carbon in the ocean come from?","Rivers, rock weathering, and it is also absorbed from the atmosphere."
What are the different pools of carbon in the oceans?,"Particulate Organic Carbon, Particulate Inorganic Carbon, Dissolved Organic Carbon, Dissolved Inorganic Carbon."
How are phytoplankton (observed from ocean colour) connected to fisheries?,They are the basis of the ocean food chain. Toxins they produce may kill fish or make them inedible.
How can satellite data help us to conserve biodiversity?,"Sattelites data are used for: understanding what species prefer which habitats, helping with decision making about the optimal locations for marine reserves, and measuring changes in the environment that may affect different species."
What can biologists do with data they receive from tracking animals at sea?,Determine their migration routes and identify their foraging areas
How might satellite data help fisheries be more sustainable?,"Indicate where fish nurseries are, so these can be avoided, supporting growth in stocks. Indicate where mature fish congregate, reducing fishing effort and increasing efficiency. Indicate areas where top predators (e.g. sea birds and sharks) congregate, so fisherman can avoid catching them by accident."
How can satellite data help us to measure biodiversity?,"Detect specific types of habitats, follow tracked animals."
What sort of uses do policy makers have for marine satellite data?,Quantifying ecosystem status and marine planning
What benefits does satellite data have for policy makers?,"It gives them more of the whole picture in space and time, rather than individual points with a stable, year-to-year time series."
What sort of industries depend on understanding the oceans?,"Fishing, transport, oil and gas, military, tourism."
What benefits does Copernicus have for policy makers?,Copernicus allows for a continued data coverage into the future with a range of ocean parameters from satellite. It provides both satellite and model data and it is free available.
What is needed to validate satellite data on the Greenland Ice Sheet?,Ground-based measurements and continuous research over time.
What are the two types of satellite imagery used in observing the Greenland Ice Sheet?,Optical and Synthetic Aperture Radar (SAR).
What can GPR measure in the snow-pack?,Snow structure and thickness and water content.
What are some of the benefits of sea ice cover?,It acts to insulate the warmer ocean from the cooler atmosphere. It reflects a large percentage of solar radiation.
What is LiDAR very good at measuring?,Forest canopy height and Biomass.
What are the main challenges of using satellite data to observe inland waters?,"Obtaining suitable spatial resolution, observing differences between bright (land) and dark (water) targets and distinguishing between different types of constituents in the water (e.g. algae, sediments, dissolved substances)."
What do NGOs such as WWF use remote sensing for?,Remote sensing is used fot understanding wildlife migration patterns and documenting illegal logging.
Where do we often see Harmful Algal Blooms ?,In upwelling systems and where nutrients enter the sea from the land.
How is ocean colour connected to fisheries?,"Algae/phytoplankton are the base of the marine food chain, providing food for nearly all other living things in the sea. Algal blooms can produce toxins that affect fisheries."
Algal blooms pose a threat to which industries?,"Fishing, tourism and Aquaculture"
Why is satellite data particularly useful for developing countries?,"It can observe remote regions and it can provide: a free source of data, high spatial and temporal coverage."
What aspects of human activity can increase desertification?,Urban growth and agriculture.
Which aspects of a volcanic eruption can be monitored using optical EO?,"Gas emissions, lava flow, terrain changes, smoke plume and related aerosols."
Which role does EO play in Monitoring the Amazon?,Understand the change in forest cover and deforestation alongside in land use at large scales
How can EO help with disaster response?,"EO data can help with disaster response by: providing hazard mapping, supporting services for assessing exposure, vulnerability, and risk, and monitoring reconstruction."
Why is the region of Latin America and the Caribbean becoming more vulnerable to natural disasters?,Increase in urbanisation and climate change are increasing the intensity of disasters.
How did the European Space Agency and the Asian Development Bank collaborate to aid recovery efforts in Palu following the Sulawesi Earthquake in Indonesia?,Using EO to see where the stable areas and stable buildings are. Providing a clear picture of how many houses are being rebuilt or are in the process of being rebuilt. Making available software tools and continuous training for local capacity building.
Why is EO extremely advantages in conflict-affected areas?,It provides a cost-effective way to get a comprehensive picture of the situation and a safe way to get data that cannot be done on the ground. It allows for regular monitoring of reconstruction efforts during the recovery phase.
How do scientists evaluate the accuracy of ECVs?,By comparing them to independent field measurements and to simulation results
What are natural sources of aerosols?,"Desert dust, sea salt, volcanic ash."
How are aerosols and pollutants monitored using satellite data?,"Satellites measure the light that is reflected by the Earth and the atmosphere, and this is compared with models of ‘clean air’ to predict the pollutants causing the light to scatter. Lasers and lidars are used to detect reflected light of aerosols."
Which chemical species does the EMeRGe project focus on?,"Photochemical O3, Nitrogen oxides, Volatile Organic Compounds (VOCs), greenhouse gases."
What was the purpose of the Aeolus Satellite?,"Aeolus Satellite measures: global wind speed in multiple layers of the atmosphere, and anthropogenic carbon dioxide."
What is the purpose of experimental fires?,"Data read from overhead aircraft during an experimental fire, can help scientists to understand how the imagers respond when they collect data from fires. Instruments that detect the smoke from experimental fires on the ground can tell us what chemicals are in the smoke, these readings help us to validate satellite information."
Which chemical species have been found to have increased in concentration in the atmosphere over Maritime Southeast Asia in El Niño years in October?,"Tropospheric ozone, carbon monoxide, nitrogen oxide, smoke aerosols."
What are the key thematic areas covered by Copernicus?,"Land Management, the Marine Environment, Atmosphere, Emergency Response, Security and Climate Change."
What are the aims of the Copernicus programme?,"Monitor and forecast the state of the environment on land, sea and in the atmosphere. Support climate change mitigation and adaptation strategies."
What role does data fusion have within EO?,"It Integrates multiple data sources to produce more consistent, accurate, and useful information. It helps to find more connections between the data. It also provide more general and comprehensive answers."
What are the challenges that make using AI and Earth monitoring different from other computer vision problems?,"Training data sets for EO are few and far between at the moment and they take a long time to create. Combining different types of EO data sets is challenging. In order to fuse EO data with other data sources, it may need to be geo-located which can be complicated."
What can cause problems for AI Earth Monitoring using Optical imagery and object recognition?,"Clouds, shadows, pixel resolution."
What are TWO disadvantages of using optical imagery for monitoring forest fires?,The data on the ground can be obscured by cloud and smoke. There is limited data acquisition speed of fast fires.
What are the two future Copernicus missions that will monitor Land?,Copernicus Hyperspectral Imaging Mission (CHIME) and Land Surface Temperature Mission (LSTM).
Which sources do the Copernicus Marine Service gather data from?,"Satellites, in situ Buoys, ocean models."
What are some ocean parameters that Sentinel-3 can measure?,"Ocean colour, sea surface temperature, and sea level."
Why is it beneficial to track in real-time maritime traffic and weather conditions?,"It is beneficial to: reduce CO₂ and SOx emissions, fuel cost savings, increase safety and security."
What type of Marine debris is detected by Satellites and is important to identify to avoid at-sea accidents?,Drift wood from flooding and Plastics.
Why is it important to identify and understand how much chlorophyll is in our oceans?,Chlorophyll absorbs masses of CO2 and is good for the environment. Chlorophyll is the basis of the food chain in our ocean so it sustains the oceans.
"Which parameters, distinguished by ML, are important for understanding Seagrass classification?","Bathymetry, Chlorophyll and distance from coast."
Why can cloud classification be challenging to complete with data from satellites?,"Satellite Passive instruments cannot measure cloud depth, which is needed for some cloud classification types. Satellite Active sensors can only give us a narrow swath of data, which is not good enough for global cloud classification."
Why is Sentinel-1’s Radar instrument useful for monitoring mangroves?,"It can measure through clouds to show us the canopy of mangroves and it gives us data in the visible spectrum, as well as near-infrared and shortwave infrared."
What could changing regional climates alter?,"Forests, crop yields, water supply."
What are the three key services provided by C3S?,"The CDS, Data in action, Climate Bulletins"
What are the five data product types available on the C3S Climate Data Store?,"Reanalysis, Climate projections, Satellite observations, Climate indices, Seasonal forecasts."
